# M_Msun R_km
2.250939290576155771e-01 1.000000009999483552e+02
2.242043614137939900e-01 1.000000009999483552e+02
2.232839500780935682e-01 1.000000009999483552e+02
2.223324187723813572e-01 1.000000009999483552e+02
2.213557592620628289e-01 1.000000009999483552e+02
2.203383490507020703e-01 1.000000009999483552e+02
2.192943622980657592e-01 1.000000009999483552e+02
2.182072653858238842e-01 1.000000009999483552e+02
2.170883188166289890e-01 1.000000009999483552e+02
2.159321801919403816e-01 1.000000009999483552e+02
2.147346381646821067e-01 1.000000009999483552e+02
2.134983324456651288e-01 1.000000009999483552e+02
2.122229678602634839e-01 1.000000009999483552e+02
2.108992463261042116e-01 1.000000009999483552e+02
2.095345586559127504e-01 1.000000009999483552e+02
2.081289533644310186e-01 1.000000009999483552e+02
2.066718684491709590e-01 1.000000009999483552e+02
2.051752455810897380e-01 1.000000009999483552e+02
2.036246675653700655e-01 1.000000009999483552e+02
2.020234231365312105e-01 1.000000009999483552e+02
2.003712976780136490e-01 1.000000009999483552e+02
1.986621785470335244e-01 1.000000009999483552e+02
1.969050915824399894e-01 1.000000009999483552e+02
1.950898079492690840e-01 1.000000009999483552e+02
1.932199981642875597e-01 1.000000009999483552e+02
1.912904421526183674e-01 1.000000009999483552e+02
1.893001595934339087e-01 1.000000009999483552e+02
1.872587160980726528e-01 1.000000009999483552e+02
1.851449540168575159e-01 1.000000009999483552e+02
1.829848525344179855e-01 1.000000009999483552e+02
1.807507477291328546e-01 1.000000009999483552e+02
1.784591982360612394e-01 1.000000009999483552e+02
1.761100142322071238e-01 1.000000009999483552e+02
1.736857375703390882e-01 1.000000009999483552e+02
1.712042784815935581e-01 1.000000009999483552e+02
1.686739704391407579e-01 1.000000009999483552e+02
1.660769012149086454e-01 1.000000009999483552e+02
1.634276531255670351e-01 1.000000009999483552e+02
1.607285128811681285e-01 1.000000009999483552e+02
1.579820477227573960e-01 1.000000009999483552e+02
1.551915794961215012e-01 1.000000009999483552e+02
1.523610072447960651e-01 1.000000009999483552e+02
1.494943714608642782e-01 1.000000009999483552e+02
1.465962663835158053e-01 1.000000009999483552e+02
1.436720867977207272e-01 1.000000009999483552e+02
1.407276353513016443e-01 1.000000009999483552e+02
1.377539310215445956e-01 1.000000009999483552e+02
1.347777985584146521e-01 1.000000009999483552e+02
1.317915362830704984e-01 1.000000009999483552e+02
1.287883640353295611e-01 1.000000009999483552e+02
1.257889786082918016e-01 1.000000009999483552e+02
1.228144068639692998e-01 1.000000009999483552e+02
1.198447798860750590e-01 1.000000009999483552e+02
1.169060193891476029e-01 1.000000009999483552e+02
1.139456269504032782e-01 1.000000009999483552e+02
1.109732386648726171e-01 1.000000009999483552e+02
1.079909980630694849e-01 1.000000009999483552e+02
1.050174999234380763e-01 1.000000009999483552e+02
1.021047625937972630e-01 1.000000009999483552e+02
9.925096410923527068e-02 1.000000009999483552e+02
9.649574644191347139e-02 1.000000009999483552e+02
9.382438597306778927e-02 1.000000009999483552e+02
9.126159350515647417e-02 1.000000009999483552e+02
8.879119113842658118e-02 1.000000009999483552e+02
8.642438862750101425e-02 1.000000009999483552e+02
8.416614207886644050e-02 1.000000009999483552e+02
8.200360182284488486e-02 1.000000009999483552e+02
7.996037522986239321e-02 1.000000009999483552e+02
7.801865360579533781e-02 1.000000009999483552e+02
7.619585354146657385e-02 1.000000009999483552e+02
7.448946269555510591e-02 1.000000009999483552e+02
7.284138555425985484e-02 1.000000009999483552e+02
7.130430034566472008e-02 1.000000009999483552e+02
6.993328447762982292e-02 1.000000009999483552e+02
6.874533486549848360e-02 1.000000009999483552e+02
6.775392765064434941e-02 1.000000009999483552e+02
6.690589733255163096e-02 1.000000009999483552e+02
6.621977146899851729e-02 1.000000009999483552e+02
6.570719383750332765e-02 1.000000009999483552e+02
6.533736712309554107e-02 1.000000009999483552e+02
6.512903370790650015e-02 1.000000009999483552e+02
6.506676670459785039e-02 1.000000009999483552e+02
6.512113208168883449e-02 1.000000009999483552e+02
6.536616848286064263e-02 1.000000009999483552e+02
6.578057004118008366e-02 1.000000009999483552e+02
6.634100329391007245e-02 1.000000009999483552e+02
6.703590954300524263e-02 1.000000009999483552e+02
6.785963392637252289e-02 1.000000009999483552e+02
6.879754552395683787e-02 1.000000009999483552e+02
6.984142619109481864e-02 1.000000009999483552e+02
7.097671820644317620e-02 1.000000009999483552e+02
7.219357896909597838e-02 9.227600099996635663e+01
7.348040317412066202e-02 7.916000099999692452e+01
7.482433110228413342e-02 6.946200100001952649e+01
7.621706013045315142e-02 6.199800100002980940e+01
7.765390587722206805e-02 5.609600100002259637e+01
7.913116948844033105e-02 5.130400100001673991e+01
8.064650636566200737e-02 4.734200100001189782e+01
8.219848899602692771e-02 4.401800100000783544e+01
8.378558790554943569e-02 4.118800100000437681e+01
8.540706998029815034e-02 3.875400100000140213e+01
8.706257478723013199e-02 3.664800099999882832e+01
8.875029373283761791e-02 3.478600099999655271e+01
9.047093128480032664e-02 3.315200099999455574e+01
9.222368955281926017e-02 3.169800099999331167e+01
9.400791082563640655e-02 3.039000099999403659e+01
9.582410703484429970e-02 2.922400099999468281e+01
9.767122367898677104e-02 2.816400099999527029e+01
9.954934655943777078e-02 2.720200099999580345e+01
1.014582554091539024e-01 2.632400099999629006e+01
1.033978704400212723e-01 2.552400099999673344e+01
1.053676049212484422e-01 2.478400099999714357e+01
1.073677623806933989e-01 2.410600099999751933e+01
1.093978872969296051e-01 2.348000099999786627e+01
1.114577786963343448e-01 2.290000099999818772e+01
1.135472312362290487e-01 2.236200099999848590e+01
1.156661411341658174e-01 2.186000099999876412e+01
1.178141847366824951e-01 2.139400099999902238e+01
1.199910452436598746e-01 2.095400099999926624e+01
1.221967850980692771e-01 2.054600099999949236e+01
1.244309831775587544e-01 2.016200099999970519e+01
1.266934026383801648e-01 1.980000099999990582e+01
1.289839832068976067e-01 1.946200100000009314e+01
1.313022260571540256e-01 1.914000100000027160e+01
1.336479888261934701e-01 1.883600100000044009e+01
1.360212749172939606e-01 1.855200100000059749e+01
1.384214668189064912e-01 1.828000100000074823e+01
1.408486605275401371e-01 1.802400100000089012e+01
1.433025008897680919e-01 1.777800100000102645e+01
1.457829506170662814e-01 1.754800100000115393e+01
1.482897038208501883e-01 1.732600100000127696e+01
1.508226286905257341e-01 1.711600100000139335e+01
1.533817566061687065e-01 1.691600100000150420e+01
1.559668872731466704e-01 1.672400100000161061e+01
1.585780019407074803e-01 1.654000100000171258e+01
1.612152528348012870e-01 1.636400100000181013e+01
1.638786579365273388e-01 1.619800100000190213e+01
1.665683034483899372e-01 1.603600100000199191e+01
1.692844679045828471e-01 1.588000100000197357e+01
1.720274466728015927e-01 1.573200100000192414e+01
1.747975629922816354e-01 1.558800100000187605e+01
1.775953510992459017e-01 1.545000100000182996e+01
1.804214383933694654e-01 1.531800100000178588e+01
1.832764093512782022e-01 1.519000100000174314e+01
1.861610706513485980e-01 1.506600100000170173e+01
1.890764616450762714e-01 1.494600100000166165e+01
1.920235497489743981e-01 1.483000100000162291e+01
1.950036456319786948e-01 1.471800100000158551e+01
1.980180190012995611e-01 1.461000100000154944e+01
2.010681964364540442e-01 1.450400100000151404e+01
2.041559545604046955e-01 1.440200100000147998e+01
2.072830651896074294e-01 1.430400100000144725e+01
2.104514839115323999e-01 1.420600100000141452e+01
2.136637913930086730e-01 1.411200100000138313e+01
2.169223956923208851e-01 1.402200100000135308e+01
2.202296425230267085e-01 1.393200100000132302e+01
2.235883257443185279e-01 1.384600100000129430e+01
2.270014371346997517e-01 1.376000100000126558e+01
2.304721675574528672e-01 1.367600100000123753e+01
2.340039800266296433e-01 1.359600100000121081e+01
2.376003864768645724e-01 1.351800100000118476e+01
2.412651716975839078e-01 1.344200100000115938e+01
2.450022465914151737e-01 1.336600100000113400e+01
2.488159240844927678e-01 1.329200100000110929e+01
2.527104942938789289e-01 1.322000100000108525e+01
2.566905007393844307e-01 1.315000100000106187e+01
2.607606016983116670e-01 1.308200100000103916e+01
2.649257564496285688e-01 1.301400100000101645e+01
2.691910232105619305e-01 1.294800100000099441e+01
2.735616147871296477e-01 1.288400100000097304e+01
2.780428928652788900e-01 1.282200100000095233e+01
2.826403571666655234e-01 1.276000100000093163e+01
2.873595815353416350e-01 1.270000100000091159e+01
2.922063187218214564e-01 1.264200100000089222e+01
2.971864863161112758e-01 1.258400100000087285e+01
3.023060454270970476e-01 1.253000100000085482e+01
3.075709944415032093e-01 1.247400100000083611e+01
3.129875200328885443e-01 1.242200100000081875e+01
3.185617259523516598e-01 1.237000100000080138e+01
3.243000324569358939e-01 1.232200100000078535e+01
3.302086603191226599e-01 1.227400100000076932e+01
3.362939761693344853e-01 1.222800100000075396e+01
3.425623813523692718e-01 1.218200100000073860e+01
3.490202306192829451e-01 1.213800100000072391e+01
3.556737719154244859e-01 1.209600100000070988e+01
3.625294260531692347e-01 1.205600100000069652e+01
3.695935222457022995e-01 1.201600100000068316e+01
3.768724185627931322e-01 1.198000100000067114e+01
3.843724448926316706e-01 1.194400100000065912e+01
3.920998567248252242e-01 1.191000100000064776e+01
4.000605122081944964e-01 1.187800100000063708e+01
4.082604207817386865e-01 1.184600100000062639e+01
4.167056054656023134e-01 1.181800100000061704e+01
4.254019973319893011e-01 1.179000100000060769e+01
4.343554159295459627e-01 1.176400100000059901e+01
4.435711488031620076e-01 1.174000100000059099e+01
4.530544535004937257e-01 1.171600100000058298e+01
4.628106841435976615e-01 1.169600100000057630e+01
4.728449874240440165e-01 1.167600100000056962e+01
4.831623876690873121e-01 1.165800100000056361e+01
4.937671079764299753e-01 1.164200100000055826e+01
5.046634510309938593e-01 1.162800100000055359e+01
5.158557612337101306e-01 1.161400100000054891e+01
5.273479856539309285e-01 1.160200100000054491e+01
5.391438127112664347e-01 1.159200100000054157e+01
5.512461114781092020e-01 1.158400100000053889e+01
5.636578947813091212e-01 1.157600100000053622e+01
5.763818849736263017e-01 1.157000100000053422e+01
5.894205068312200479e-01 1.156600100000053288e+01
6.027756494301761414e-01 1.156200100000053155e+01
6.164485105402542908e-01 1.156000100000053088e+01
6.304402425631864260e-01 1.156000100000053088e+01
6.447515441558041571e-01 1.156000100000053088e+01
6.593827415124957625e-01 1.156200100000053155e+01
6.743336237473682715e-01 1.156600100000053288e+01
6.896033700756303286e-01 1.157000100000053422e+01
7.051906431285713817e-01 1.157400100000053556e+01
7.210937488735209566e-01 1.158000100000053756e+01
7.373104313593458192e-01 1.158800100000054023e+01
7.538378995742642807e-01 1.159600100000054290e+01
7.706728151880460898e-01 1.160400100000054557e+01
7.878112359493976147e-01 1.161400100000054891e+01
8.052486127299155472e-01 1.162400100000055225e+01
8.229798495231437361e-01 1.163600100000055626e+01
8.409991899146750383e-01 1.164800100000056027e+01
8.593003202196525248e-01 1.166000100000056428e+01
8.778762856466129083e-01 1.167400100000056895e+01
8.967195106702652296e-01 1.168600100000057296e+01
9.158218175213654888e-01 1.170000100000057763e+01
9.351743967189251050e-01 1.171400100000058231e+01
9.547677977954996953e-01 1.173000100000058765e+01
9.745919686243986746e-01 1.174400100000059233e+01
9.946362360202001263e-01 1.176000100000059767e+01
1.014889334394277975e+00 1.177600100000060301e+01
1.035339357485018041e+00 1.179200100000060836e+01
1.055973825077957562e+00 1.180600100000061303e+01
1.076779694545540345e+00 1.182200100000061838e+01
1.097743324812817223e+00 1.183800100000062372e+01
1.118850600919893523e+00 1.185400100000062906e+01
1.140086887295364670e+00 1.187000100000063441e+01
1.161437006520107396e+00 1.188600100000063975e+01
1.182885297783820011e+00 1.190200100000064509e+01
1.204415725581858165e+00 1.191800100000065044e+01
1.226011830091026988e+00 1.193200100000065511e+01
1.247656691069747081e+00 1.194800100000066045e+01
1.269333141115206232e+00 1.196200100000066513e+01
1.291023663122305098e+00 1.197600100000066980e+01
1.312710446346913473e+00 1.199000100000067448e+01
1.334375474936084327e+00 1.200200100000067849e+01
1.356000538108963260e+00 1.201600100000068316e+01
1.377567247183684840e+00 1.202800100000068717e+01
1.399057140622163020e+00 1.204000100000069118e+01
1.420451642820176330e+00 1.205000100000069452e+01
1.441732221050519236e+00 1.206000100000069786e+01
1.462880297359081982e+00 1.207000100000070120e+01
1.483877413510622301e+00 1.208000100000070454e+01
1.504705189165868484e+00 1.208800100000070721e+01
1.525345427260532905e+00 1.209400100000070921e+01
1.545780111712561133e+00 1.210200100000071188e+01
1.565991489953155957e+00 1.210800100000071389e+01
1.585962082819921681e+00 1.211200100000071522e+01
1.605674765382160585e+00 1.211600100000071656e+01
1.625112750659813532e+00 1.212000100000071789e+01
1.644259690857486245e+00 1.212200100000071856e+01
1.663099684684673285e+00 1.212400100000071923e+01
1.681617303832402710e+00 1.212400100000071923e+01
1.699797656717404015e+00 1.212400100000071923e+01
1.717626403709399785e+00 1.212400100000071923e+01
1.735089766198056882e+00 1.212000100000071789e+01
1.752174617378966515e+00 1.211800100000071723e+01
1.768868417064700660e+00 1.211400100000071589e+01
1.785159340963482943e+00 1.210800100000071389e+01
1.801036198705050717e+00 1.210200100000071188e+01
1.816488532935385924e+00 1.209600100000070988e+01
1.831506582558252161e+00 1.208800100000070721e+01
1.846081326463267613e+00 1.207800100000070387e+01
1.860204475313758321e+00 1.206800100000070053e+01
1.873868485586093646e+00 1.205800100000069719e+01
1.887066580190457588e+00 1.204600100000069318e+01
1.899792733640071063e+00 1.203200100000068851e+01
1.912041664555065523e+00 1.202000100000068450e+01
1.923808855076529767e+00 1.200400100000067916e+01
1.935090537333483462e+00 1.198800100000067381e+01
1.945883690244945896e+00 1.197200100000066847e+01
1.956186039414934186e+00 1.195400100000066246e+01
1.965996020729238403e+00 1.193600100000065645e+01
1.975312781613300039e+00 1.191600100000064977e+01
1.984136199442017690e+00 1.189600100000064309e+01
1.992466798677391848e+00 1.187400100000063574e+01
2.000305807871574082e+00 1.185400100000062906e+01
2.007655095149707414e+00 1.183000100000062105e+01
2.014517142416009765e+00 1.180600100000061303e+01
2.020895073313245138e+00 1.178200100000060502e+01
2.026792586039667388e+00 1.175800100000059700e+01
2.032213936534513987e+00 1.173200100000058832e+01
2.037163953453982046e+00 1.170600100000057964e+01
2.041647957810658109e+00 1.167800100000057029e+01
2.045671772660693666e+00 1.165000100000056094e+01
2.049241711415033862e+00 1.162200100000055158e+01
2.052364515404717427e+00 1.159400100000054223e+01
2.055047333347012284e+00 1.156400100000053222e+01
2.057297725958112444e+00 1.153400100000052220e+01
2.059123609031122015e+00 1.150200100000051151e+01
2.060533238150525470e+00 1.147200100000050149e+01
2.061535167057523488e+00 1.144000100000049081e+01
2.062138252095458757e+00 1.140800100000048012e+01
2.062351576063073288e+00 1.137400100000046876e+01
