# n_fm^-3 epsilon_MeVfm^-3 P_MeVfm^-3
6.294999999999999329e-12 5.856960177303370506e-09 6.082397003745318444e-15
1.580999999999999827e-11 1.470972182460674025e-08 3.101123595505618045e-14
3.971999999999999958e-11 3.695382824511236205e-08 1.517478152309612877e-13
9.975999999999999982e-11 9.279130395842696567e-08 7.184769038701623162e-13
2.505999999999999928e-10 2.331563840696629179e-07 3.287141073657927205e-12
6.293999999999999152e-10 5.856960177303370208e-07 1.446941323345817792e-11
1.580999999999999814e-09 1.470972182460673979e-06 6.089263420724094320e-11
3.971999999999999932e-09 3.695943836022471611e-06 2.441323345817727503e-10
4.999999999999999277e-09 4.652468462679774515e-06 3.277153558052434409e-10
9.975999999999999465e-09 9.284740510955055066e-06 8.957553058676655086e-10
1.989999999999999952e-08 1.852460010101123579e-05 2.392634207240948761e-09
3.972000000000000098e-08 3.696504847533707582e-05 6.279650436953807531e-09
7.923999999999998693e-08 7.377301372752807958e-05 1.625468164794007302e-08
1.580999999999999930e-07 1.472094205483146033e-04 4.167290886392009998e-08
1.989999999999999952e-07 1.853582033123595387e-04 5.454431960049937676e-08
3.154999999999999863e-07 2.938017284342696648e-04 1.016853932584269562e-07
4.999999999999999774e-07 4.656956554769662898e-04 1.897003745318352237e-07
6.293999999999999582e-07 5.862570292415729975e-04 2.577403245942571808e-07
7.924000000000000281e-07 7.382911487865168217e-04 3.143570536828964057e-07
9.975999999999999862e-07 9.295960741179774703e-04 4.282147315855180928e-07
1.580999999999999982e-06 1.473216228505617922e-03 7.940074906367040800e-07
2.505999999999999808e-06 2.336051932786516877e-03 1.470661672908863856e-06
3.972000000000000256e-06 3.703236985668538917e-03 2.722846441947565395e-06
4.999999999999999562e-06 4.663127681393258207e-03 3.534332084893882876e-06
6.293999999999999370e-06 5.868180407528090017e-03 4.807740324594257028e-06
7.923999999999999010e-06 7.394131718089887000e-03 6.541822721598002224e-06
9.975999999999999015e-06 9.307180971404493269e-03 8.895131086142322790e-06
1.255999999999999833e-05 1.172514058483145952e-02 1.209737827715355805e-05
1.580999999999999940e-05 1.476021286061797617e-02 1.562421972534331911e-05
1.989999999999999921e-05 1.858631136724718871e-02 2.124843945068663909e-05
2.505999999999999724e-05 2.340540024876404390e-02 2.888888888888888824e-05
3.155000000000000117e-05 2.947554480033707722e-02 3.713483146067415603e-05
3.971999999999999918e-05 3.712213169848314204e-02 5.049313358302121713e-05
4.999999999999999562e-05 4.674347911617977164e-02 6.866416978776530063e-05
6.293999999999999031e-05 5.885010752865167671e-02 9.332084893882645730e-05
7.923999999999999349e-05 7.416572178539325433e-02 1.269038701622971312e-04
9.975999999999999354e-05 9.335231546966292482e-02 1.621098626716604410e-04
1.104999999999999890e-04 1.034505226719101140e-01 1.805243445692883799e-04
1.255999999999999901e-04 1.175880127550561621e-01 2.053682896379525544e-04
1.580999999999999940e-04 1.481070389662921261e-01 2.792134831460674226e-04
1.990000000000000124e-04 1.865363274859550557e-01 3.630461922596753634e-04
2.505999999999999656e-04 2.349516209056179417e-01 4.705368289637952540e-04
2.572000000000000176e-04 2.411788486803370934e-01 4.872034956304619282e-04
2.669999999999999847e-04 2.502111340112359583e-01 4.925093632958800569e-04
3.125999999999999547e-04 2.932968180741573061e-01 5.213483146067416285e-04
3.950999999999999543e-04 3.708286089269662855e-01 5.679151061173532940e-04
4.759000000000000209e-04 4.467895675483146145e-01 6.136704119850187704e-04
5.812000000000000326e-04 5.457519981303370349e-01 6.760299625468164236e-04
7.142999999999999610e-04 6.709697674382022470e-01 7.602996254681647619e-04
8.043553938812008546e-04 7.557476977882442437e-01 8.253948235888645523e-04
