# M_Msun R_km Lambda
1.210622910778497013e-01 2.075196303074463700e+01 7.587520562805815041e+07
1.282190502088167150e-01 1.957062093489283328e+01 5.759327047973778099e+07
1.356576997487511926e-01 1.859329337972088680e+01 4.396212551584249735e+07
1.433709185063023750e-01 1.777193581608056761e+01 3.371537780755732208e+07
1.513524174062645666e-01 1.707290158434823724e+01 2.596685726086573303e+07
1.595981780936786554e-01 1.647053045061330678e+01 2.007812520615071431e+07
1.681081952460700413e-01 1.594578922413946565e+01 1.557268702232167684e+07
1.768885196691390993e-01 1.548429915699417947e+01 1.211409446388775110e+07
1.859536669261415698e-01 1.507377202070695255e+01 9.447644535952756181e+06
1.953292637408039489e-01 1.470566269631156509e+01 7.380180953006632626e+06
2.050546795861568905e-01 1.437247555787215880e+01 5.771762306492945179e+06
2.151858799886613438e-01 1.406848594801190444e+01 4.512440670164324343e+06
2.257970897838122992e-01 1.378878456894257098e+01 3.524580619957777672e+06
2.369812515321179092e-01 1.353096969807592664e+01 2.746689935302044265e+06
2.488518519350979841e-01 1.329131217218120753e+01 2.133573989175492898e+06
2.615422199387312241e-01 1.306743739062031651e+01 1.649463043579790974e+06
2.752046794231036153e-01 1.286024128426794988e+01 1.268581822310168063e+06
2.900078163251372798e-01 1.266739275437290679e+01 9.691914127014168771e+05
3.061341622066283130e-01 1.248874148929182226e+01 7.351028897451908560e+05
3.237769888671286345e-01 1.232558057626911641e+01 5.534054399241658393e+05
3.431369375130850496e-01 1.217718004650136088e+01 4.134857863812957658e+05
3.644184355931691655e-01 1.204396154900357629e+01 3.065302160573251895e+05
3.878251150004852765e-01 1.192745829851164885e+01 2.256013643497104349e+05
4.135573223995115399e-01 1.182698200342609596e+01 1.648989583435061504e+05
4.418070343007721723e-01 1.174297050222253169e+01 1.198078118058063556e+05
4.727527949569556576e-01 1.167582331948703711e+01 8.659271458568525850e+04
5.065572772820813308e-01 1.162458876684528519e+01 6.233640961481687555e+04
5.433591706936744536e-01 1.158843726159981635e+01 4.471213358952427370e+04
5.832712461373681379e-01 1.156739354176579226e+01 3.200766664372134983e+04
6.263710402538994471e-01 1.155958385632169438e+01 2.288006967788573820e+04
6.726987156525472411e-01 1.156464602210301607e+01 1.634780851068611264e+04
7.222480599765432885e-01 1.158041482790765997e+01 1.168822427567412524e+04
7.749627614257940111e-01 1.160576894334834996e+01 8.371385762857962618e+03
8.307312819211019050e-01 1.164041293087201367e+01 6.009247314316115990e+03
8.893820605970621518e-01 1.167992441203309006e+01 4.327764708409575178e+03
9.506811086636016705e-01 1.172570355645031270e+01 3.129373024486787017e+03
1.014330852414695894e+00 1.177466963087587715e+01 2.274054814747259570e+03
1.079971087211409664e+00 1.182487748635854707e+01 1.661471660169008828e+03
1.147181486058201028e+00 1.187509623744355913e+01 1.221305476594685160e+03
1.215487382172369957e+00 1.192441200146185309e+01 9.040382854902738927e+02
1.284367454298147138e+00 1.197097473811976798e+01 6.741868519072241952e+02
1.353263396678582753e+00 1.201321642113765265e+01 5.066933472899547155e+02
1.421591979677605977e+00 1.205024475807166340e+01 3.841387307043485180e+02
1.488758389835199925e+00 1.208057890201893869e+01 2.938342994277873004e+02
1.554170399983382023e+00 1.210356479393070650e+01 2.268616222613431432e+02
1.617252859688386613e+00 1.211845305044639076e+01 1.768508546269381441e+02
1.677461844851543704e+00 1.212424856103235271e+01 1.392827885458229673e+02
1.734297765180645712e+00 1.212057057239584346e+01 1.107758802933996947e+02
1.787316361832993916e+00 1.210732124014849731e+01 8.905459960257334728e+01
1.836138166929590199e+00 1.208444072543703207e+01 7.234838525303734968e+01
1.880455205854914880e+00 1.205139938154419887e+01 5.940968267443741269e+01
1.920034924558108758e+00 1.200880065594413537e+01 4.930092510619569168e+01
1.954721841627660162e+00 1.195637071134542140e+01 4.135910214912839677e+01
1.984436634106715669e+00 1.189512583269200796e+01 3.506559583085311260e+01
2.009172939142903402e+00 1.182506146763550881e+01 3.005142882625827028e+01
2.028992612397917839e+00 1.174752747965637845e+01 2.601754104537571166e+01
2.044019546383764041e+00 1.166211386738006794e+01 2.275844148213223050e+01
2.054432053798974867e+00 1.157036884605827609e+01 2.010802099855799696e+01
2.060455113944239969e+00 1.147283819936146543e+01 1.794429226962981971e+01
2.062351503479111337e+00 1.137003715118246028e+01 1.615973864107458269e+01
