# n_fm^-3 epsilon_MeVfm^-3 P_MeVfm^-3
1.512790062028028081e-03 1.422123350125941377e+00 8.326518679011129642e-04
1.529124085396230430e-03 1.437487642793574771e+00 8.451100966813349666e-04
1.587176238748534002e-03 1.492093802483936749e+00 8.898572382530909501e-04
1.647432302523166780e-03 1.548774787379043394e+00 9.367814755396064192e-04
1.709975946676698050e-03 1.607609451150737501e+00 9.859731052072025562e-04
1.774894017638545957e-03 1.668679644570983944e+00 1.037524872576952055e-03
1.842276658903622098e-03 1.732070329387174201e+00 1.091531922573853002e-03
1.912217436203150116e-03 1.797869696517828020e+00 1.148091738172160939e-03
1.984813467427554764e-03 1.866169288733438458e+00 1.207304064260946363e-03
2.060165557481753989e-03 1.937064127991210860e+00 1.269270816845234975e-03
2.138378338260152334e-03 2.010652847600800541e+00 1.334095975687006868e-03
2.219560413935688873e-03 2.087037829402787814e+00 1.401885460470834706e-03
2.303824511764681303e-03 2.166325346149948761e+00 1.472746989242335438e-03
2.391287638616880051e-03 2.248625709288585739e+00 1.546789917898943071e-03
2.482071243448062681e-03 2.334053422343624451e+00 1.624125060593624654e-03
2.576301385940816657e-03 2.422727340119694261e+00 1.704864490315071476e-03
2.674108911547631341e-03 2.514770833937935546e+00 1.789121319480273904e-03
2.775629633179387337e-03 2.610311963137911029e+00 1.877009459411376575e-03
2.881004519791532242e-03 2.709483653080249521e+00 1.968643360133834602e-03
2.990379892129794558e-03 2.812423879896926326e+00 2.064137730065678661e-03
3.103907625907256513e-03 2.919275862244903763e+00 2.163607236017355950e-03
3.221745362694890431e-03 3.030188260327153493e+00 2.267166185859916146e-03
3.344056728818439825e-03 3.145315382457629205e+00 2.374928194343638513e-03
3.471011562565543603e-03 3.264817399454957858e+00 2.487005835456186035e-03
3.602786150018634850e-03 3.388860567162340853e+00 2.603510283777473594e-03
3.739563469841074902e-03 3.517617457401060577e+00 2.724550949610240330e-03
3.881533447356427021e-03 3.651267197678789600e+00 2.850235111798610742e-03
4.028893218273676448e-03 3.789995719983559663e+00 2.980667556068192139e-03
4.181847402424576990e-03 3.933996019010319589e+00 3.115950224831923621e-03
4.340608387893316565e-03 4.083468420177255531e+00 3.256181889379327482e-03
4.505396625932862886e-03 4.238620857805742936e+00 3.401457854244787846e-03
4.676440937077717963e-03 4.399669163850671971e+00 3.551869707778350285e-03
4.853978828877963773e-03 4.566837367583916674e+00 3.707505134246990523e-03
5.038256825695888036e-03 4.740358006649268319e+00 3.868447806198761513e-03
5.229530811023119785e-03 4.920472449924242042e+00 4.034777378459832725e-03
5.428066382793566430e-03 5.107431232641092222e+00 4.206569609259894552e-03
5.634139222185649901e-03 5.301494404238146885e+00 4.383896637572898096e-03
5.848035476425734493e-03 5.502931889430681345e+00 4.566827451241689713e-03
6.070052156124562323e-03 5.712023863012031910e+00 4.755428584503399586e-03
6.300497547698204887e-03 5.929061138914950568e+00 4.949765090887010659e-03
6.539691641446334670e-03 6.154345574086366177e+00 5.149901843164687507e-03
6.787966575882186000e-03 6.388190487751773006e+00 5.355905219710102756e-03
7.045667098931172531e-03 6.630921096668666692e+00 5.567845246026993135e-03
7.313151046638697618e-03 6.882874966995212063e+00 5.785798268905207979e-03
7.590789840051600026e-03 7.144402483427353623e+00 6.009850250738948442e-03
7.878969000963586405e-03 7.415867336283186617e+00 6.240100786998761459e-03
8.178088687240363600e-03 7.697647027249352902e+00 6.476667956440769654e-03
8.488564248468211809e-03 7.990133394527442867e+00 6.719694137574450978e-03
8.810826802697267063e-03 8.293733158159778185e+00 6.969352933165592380e-03
9.145323835080501618e-03 8.608868486344148252e+00 7.225857368145114680e-03
9.492519819239639278e-03 8.935977583586103279e+00 7.489469545332760186e-03
9.852896862220733923e-03 9.275515301577753391e+00 7.760511964911551153e-03
1.022695537393521724e-02 9.627953773732757625e+00 8.039380740516858387e-03
1.061521476201555785e-02 9.993783074352478479e+00 8.326560970539428549e-03
1.101821415305090368e-02 1.037351190344547192e+01 8.622644555139672568e-03
1.143651314120377842e-02 1.076766829827367467e+01 8.928350780338151563e-03
1.187069256524755576e-02 1.117680037275079918e+01 9.244550029243604750e-03
1.232135531510361766e-02 1.160147708587712678e+01 9.572291017773158078e-03
1.278912716899817566e-02 1.204228904045461412e+01 9.912831996226433365e-03
1.327465766240114309e-02 1.249984931339102445e+01 1.026767640414103129e-02
1.377862098995370418e-02 1.297479431897366275e+01 1.063861351323205570e-02
1.430171694163691505e-02 1.346778470656068727e+01 1.102776465215292608e-02
1.484467187448136605e-02 1.397950629422470037e+01 1.143763565628073790e-02
1.540823972116708157e-02 1.451067103996002139e+01 1.187117625200569820e-02
1.599320303691426429e-02 1.506201805215955147e+01 1.233184714377494502e-02
1.660037408611848495e-02 1.563431464115764058e+01 1.282369564221151614e-02
1.723059597023931730e-02 1.622835741374165153e+01 1.335144073479678506e-02
1.788474379850842413e-02 1.684497341263787007e+01 1.392056857440153624e-02
1.856372590308277837e-02 1.748502130309603331e+01 1.453743942644597845e-02
1.926848510033042639e-02 1.814939260881470418e+01 1.520940718692724916e-02
2.000000000000000042e-02 1.883901299958098363e+01 1.594495264600171922e-02
2.066666666666666652e-02 1.946752315883394502e+01 1.665253318138616712e-02
2.133333333333333262e-02 2.009605675720329643e+01 1.739886369638038444e-02
2.199999999999999872e-02 2.072461432159373729e+01 1.818706325025778656e-02
2.266666666666666829e-02 2.135319644123190841e+01 1.902023075206138447e-02
2.333333333333333440e-02 2.198180376150982696e+01 1.990144086121177144e-02
2.400000000000000050e-02 2.261043697842150735e+01 2.083374027258232120e-02
2.466666666666666660e-02 2.323909683351958222e+01 2.182014434143513676e-02
2.533333333333333270e-02 2.386778410933004224e+01 2.286363400989447833e-02
2.600000000000000228e-02 2.449649962517272428e+01 2.396715300135975751e-02
2.666666666666666491e-02 2.512524423334217616e+01 2.513360525459718345e-02
2.733333333333333448e-02 2.575401881560836514e+01 2.636585257409060357e-02
2.800000000000000058e-02 2.638282428000503543e+01 2.766671247373000270e-02
2.866666666666666669e-02 2.701166155787393919e+01 2.903895619741387463e-02
2.933333333333333279e-02 2.764053160114042385e+01 3.048530689912210684e-02
2.999999999999999889e-02 2.826943537979722620e+01 3.200843796906260169e-02
3.066666666666666846e-02 2.889837387957589243e+01 3.361097149380058713e-02
3.133333333333333109e-02 2.952734809978881358e+01 3.529547683930620711e-02
3.200000000000000067e-02 3.015635905132625183e+01 3.706446934696634721e-02
3.266666666666666330e-02 3.078540775479392266e+01 3.892040913508106048e-02
3.333333333333333287e-02 3.141449523877949801e+01 4.086569999735454456e-02
3.400000000000000244e-02 3.204362253823628492e+01 4.290268839243542576e-02
3.466666666666666508e-02 3.267279069297541128e+01 4.503366251773824325e-02
3.533333333333333465e-02 3.330200074625629725e+01 4.726085146300228190e-02
3.600000000000000422e-02 3.393125374346863765e+01 4.958642443793175730e-02
3.666666666666666685e-02 3.456055073089811458e+01 5.201249007063228624e-02
3.733333333333332948e-02 3.518989275457060728e+01 5.454109578400702374e-02
