# n_fm^-3 epsilon_MeVfm^-3 P_MeVfm^-3 Yp
1.587176238748534002e-03 1.492072780164468870e+00 8.680667395284996559e-04 7.298692607547998200e-05
1.647432302523166780e-03 1.548752107142123302e+00 9.132420855958169829e-04 7.625988252441779172e-05
1.709975946676698050e-03 1.607584981003300939e+00 9.605421206570129112e-04 7.967549763837823056e-05
1.774894017638545957e-03 1.668653241869918036e+00 1.010047688050417234e-03 8.324043123111649880e-05
1.842276658903622098e-03 1.732041839964143515e+00 1.061841010641335469e-03 8.696167636017057144e-05
1.912217436203150116e-03 1.797838953730403810e+00 1.116005539138987569e-03 9.084657752957647997e-05
1.984813467427554764e-03 1.866136112436420191e+00 1.172625777328047906e-03 9.490285000171807986e-05
2.060165557481753989e-03 1.937028323421019937e+00 1.231787083810506524e-03 9.913860029371414947e-05
2.138378338260152334e-03 2.010614204165099839e+00 1.293575447612143464e-03 1.035623479379989644e-04
2.219560413935688873e-03 2.086996119367428904e+00 1.358077236200801174e-03 1.081830485945297173e-04
2.303824511764681303e-03 2.166280323214525794e+00 1.425378913713467883e-03 1.130101186067841609e-04
2.391287638616880051e-03 2.248577107040058642e+00 1.495566728081346121e-03 1.180534611023126258e-04
2.482071243448062681e-03 2.334000952577945043e+00 1.568726364331305898e-03 1.233234937451999427e-04
2.576301385940816657e-03 2.422670691019458200e+00 1.644942562937080780e-03 1.288311782562790006e-04
2.674108911547631341e-03 2.514709668093817463e+00 1.724298700840217000e-03 1.345880518262968818e-04
2.775629633179387337e-03 2.610245915399243888e+00 1.806876333590259377e-03 1.406062605558740925e-04
2.881004519791532242e-03 2.709412328220397015e+00 1.892754696838555139e-03 1.468985950677844786e-04
2.990379892129794558e-03 2.812346850076732796e+00 1.982010165732111823e-03 1.534785284470523625e-04
3.103907625907256513e-03 2.919192664255889191e+00 2.074715670744055763e-03 1.603602566772907665e-04
3.221745362694890431e-03 3.030098392595264034e+00 2.170940069148132642e-03 1.675587417552142685e-04
3.344056728818439825e-03 3.145218301785877468e+00 2.270747470850225172e-03 1.750897576780513661e-04
3.471011562565543603e-03 3.264712517481541898e+00 2.374196519011518517e-03 1.829699395160019730e-04
3.602786150018634850e-03 3.388747246508659661e+00 2.481339624935476572e-03 1.912168357967577244e-04
3.739563469841074902e-03 3.517495007481961089e+00 2.592222158555329819e-03 1.998489644487565632e-04
3.881533447356427021e-03 3.651134870144154831e+00 2.706881595495296694e-03 2.088858725677866508e-04
4.028893218273676448e-03 3.789852703758348706e+00 2.825346623899617146e-03 2.183482002942533685e-04
4.181847402424576990e-03 3.933841434896500289e+00 2.947636213410683229e-03 2.282577491101529712e-04
4.340608387893316565e-03 4.083301314977896723e+00 3.073758652466659479e-03 2.386375548906863634e-04
4.505396625932862886e-03 4.238440197928182052e+00 3.203710558469174789e-03 2.495119660707459733e-04
4.676440937077717963e-03 4.399473828341236903e+00 3.337475869880209868e-03 2.609067273170540620e-04
4.853978828877963773e-03 4.566626140542349610e+00 3.475024829823220290e-03 2.728490691273195126e-04
5.038256825695888036e-03 4.740129568966935381e+00 3.616312972825762220e-03 2.853678038112497325e-04
5.229530811023119785e-03 4.920225370283914046e+00 3.761280130480830659e-03 2.984934283458212591e-04
5.428066382793566430e-03 5.107163957711552627e+00 3.909849472986838895e-03 3.122582346360646376e-04
5.634139222185649901e-03 5.301205247990108838e+00 4.061926608456347364e-03 3.266964277551128695e-04
5.848035476425734493e-03 5.502619021493550200e+00 4.217398766204666360e-03 3.418442527841925060e-04
6.070052156124562323e-03 5.711685295984694655e+00 4.376134092710973721e-03 3.577401309212972953e-04
6.300497547698204887e-03 5.928694714535188481e+00 4.537981097117731351e-03 3.744248055891171616e-04
6.539691641446334670e-03 6.153948948154948084e+00 4.702768287489005224e-03 3.919414992799471727e-04
6.787966575882186000e-03 6.387761113697794535e+00 4.870304046357592023e-03 4.103360820838744972e-04
7.045667098931172531e-03 6.630456207633358190e+00 5.040376801897382755e-03 4.296572526745538159e-04
7.313151046638697618e-03 6.882371556299710313e+00 5.212755560690849124e-03 4.499567328232137865e-04
7.590789840051600026e-03 7.143857283277946557e+00 5.387190876905539536e-03 4.712894764666278238e-04
7.878969000963586405e-03 7.415276794556606710e+00 5.563416345660554714e-03 4.937138944656054322e-04
8.178088687240363600e-03 7.697007282183159660e+00 5.741150720118238897e-03 5.172920962759383189e-04
8.488564248468211809e-03 7.989440247130185746e+00 5.920100767194144339e-03 5.420901498456024608e-04
8.810826802697267063e-03 8.292982042136273435e+00 6.099964992819995740e-03 5.681783611475481940e-04
9.145323835080501618e-03 8.608054435315564135e+00 6.280438386418489387e-03 5.956315748596359167e-04
9.492519819239639278e-03 8.935095195366191234e+00 6.461218355152326294e-03 6.245294978106500933e-04
9.852896862220733923e-03 9.274558699247027249e+00 6.642012040653747819e-03 6.549570469233221724e-04
1.022695537393521724e-02 9.626916563230908608e+00 6.822545239548117625e-03 6.870047235010281420e-04
1.061521476201555785e-02 9.992658298289002872e+00 7.002573174232373972e-03 7.207690158246860814e-04
1.101821415305090368e-02 1.037229199080393371e+01 7.181893397102010086e-03 7.563528321498185197e-04
1.143651314120377842e-02 1.076634500966088304e+01 7.360361144114279698e-03 7.938659663156725967e-04
1.187069256524755576e-02 1.117536474081789422e+01 7.537907494842682396e-03 8.334255983033241446e-04
1.232135531510361766e-02 1.159991935051202283e+01 7.714560741174138203e-03 8.751568321985823788e-04
1.278912716899817566e-02 1.204059857831845370e+01 7.890471415409803374e-03 9.191932741318453769e-04
1.327465766240114309e-02 1.249801456134555977e+01 8.065941481314613248e-03 9.656776528710320478e-04
1.377862098995370418e-02 1.297280269091455551e+01 8.241458254654509402e-03 1.014762485837648106e-03
1.430171694163691505e-02 1.346562250314982379e+01 8.417733681486636380e-03 1.066610793385907273e-03
1.484467187448136605e-02 1.397715860498220586e+01 8.595749677715003659e-03 1.121396864232926524e-03
1.540823972116708157e-02 1.450812163715658265e+01 8.776810307694459662e-03 1.179307074938204828e-03
1.599320303691426429e-02 1.505924927592089979e+01 8.962601670140183524e-03 1.240540766295019021e-03
1.660037408611848495e-02 1.563130727517899921e+01 9.155260445642353015e-03 1.305311179407251613e-03
1.723059597023931730e-02 1.622509055098960573e+01 9.357452164433449973e-03 1.373846454052641587e-03
1.788474379850842413e-02 1.684142431041021837e+01 9.572460357313824011e-03 1.446390691689085437e-03
1.856372590308277837e-02 1.748116522680682650e+01 9.804287865906568741e-03 1.523205085069294189e-03
1.926848510033042639e-02 1.814520266388084835e+01 1.005777170920325869e-02 1.604569115937365962e-03
2.000000000000000042e-02 1.883445995080524327e+01 1.033871302984512748e-02 1.690781821584782770e-03
2.066666666666666652e-02 1.946262439003623967e+01 1.061411170690413144e-02 1.770912818244772423e-03
2.133333333333333262e-02 2.009079805379438355e+01 1.091130803151896603e-02 1.852531984202168908e-03
2.199999999999999872e-02 2.071898138520321098e+01 1.123354205477796429e-02 1.935638698975022552e-03
2.266666666666666829e-02 2.134717489885646913e+01 1.158406033346896964e-02 2.020232099179594936e-03
2.333333333333333440e-02 2.197537917463545654e+01 1.196611160644704339e-02 2.106311054180914997e-03
2.400000000000000050e-02 2.260359485211594333e+01 1.238294283696704176e-02 2.193874143990714922e-03
2.466666666666666660e-02 2.323182262549009280e+01 1.283779557783374693e-02 2.282919639144112209e-03
2.533333333333333270e-02 2.386006323894454795e+01 1.333390261825652921e-02 2.373445482327377759e-03
2.600000000000000228e-02 2.448831748243973649e+01 1.387448488125165615e-02 2.465449271568857879e-03
2.666666666666666491e-02 2.511658618784576547e+01 1.446274854278573399e-02 2.558928244829923506e-03
2.733333333333333448e-02 2.574487022539522840e+01 1.510188234839392706e-02 2.653879265861917598e-03
2.800000000000000058e-02 2.637317050041930244e+01 1.579505510610597005e-02 2.750298811210554872e-03
2.866666666666666669e-02 2.700148795033646110e+01 1.654541333823855709e-02 2.848182958270823687e-03
2.933333333333333279e-02 2.762982354186923217e+01 1.735607907510617470e-02 2.947527374306565043e-03
2.999999999999999889e-02 2.825817826846450487e+01 1.823014777826762606e-02 3.048327306362493081e-03
3.066666666666666846e-02 2.888655314789921746e+01 1.917068638005544473e-02 3.150577572006766063e-03
3.133333333333333109e-02 2.951494922005255361e+01 2.018073142939938100e-02 3.254272550848163852e-03
3.200000000000000067e-02 3.014336754482874881e+01 2.126328733580494512e-02 3.359406176785256683e-03
3.266666666666666330e-02 3.077180920021866939e+01 2.242132470045275772e-02 3.465971930942246884e-03
3.333333333333333287e-02 3.140027528048565486e+01 2.365777873056262859e-02 3.573962835261911258e-03
3.400000000000000244e-02 3.202876689446517844e+01 2.497554772931703110e-02 3.683371446720066274e-03
3.466666666666666508e-02 3.265728516397019376e+01 2.637749165465534326e-02 3.794189852140178194e-03
3.533333333333333465e-02 3.328583122229090208e+01 2.786643074433545544e-02 3.906409663617455702e-03
3.600000000000000422e-02 3.391440621278312051e+01 2.944514420082297926e-02 4.020022014305222637e-03
