# n_fm^-3 Ebind_MeV Esym_MeV Psnm_MeVfm^-3 K_MeV L_MeV
8.000000000000000167e-03 6.481916516258934280e-02 2.198791239883543636e+00 -6.881381173863942990e-03 -3.290385889958233445e+00 5.073080724276419318e+00
1.047499999999999994e-02 -2.228604652358399107e-01 2.714177586730301961e+00 -1.357195022505841564e-02 -4.754051938745619488e+00 6.445124582940975344e+00
1.294999999999999971e-02 -5.427809629861712892e-01 3.214013727888565874e+00 -2.249181761149721126e-02 -5.485360474417889876e+00 7.770056000373350535e+00
1.542500000000000121e-02 -8.839358664739620508e-01 3.704184721913007294e+00 -3.357450978620590831e-02 -5.207357057912489928e+00 9.108176857568953011e+00
1.789999999999999925e-02 -1.239431009243503468e+00 4.188308172944563701e+00 -4.673160036098167325e-02 -4.708329922397132883e+00 1.046437302567853678e+01
2.037500000000000075e-02 -1.604595987376342237e+00 4.668777766179464273e+00 -6.186065059717194003e-02 -3.988306303447069823e+00 1.184157761581796642e+01
2.285000000000000225e-02 -1.976087385558344067e+00 5.147258016679515435e+00 -7.884968843217521339e-02 -3.050206678092005852e+00 1.324149645600494729e+01
2.532500000000000029e-02 -2.351411495772140370e+00 5.624947094512426027e+00 -9.757996554511194631e-02 -1.897642020620040837e+00 1.466502264808377909e+01
2.780000000000000179e-02 -2.728648434974047632e+00 6.102728396515180620e+00 -1.179277675392285119e-01 -5.342489502349517805e-01 1.611248367815050386e+01
3.027500000000000330e-02 -3.106282332911860067e+00 6.581263571812726809e+00 -1.397656633180446306e-01 1.036506139911026247e+00 1.758379472034711100e+01
3.275000000000000133e-02 -3.483091494594987125e+00 7.061052468804947857e+00 -1.629634025979314060e-01 2.811367230002513207e+00 1.907855687246633636e+01
3.522500000000000631e-02 -3.858074441042276703e+00 7.542473307372101310e+00 -1.873885821657736983e-01 4.787276880071371643e+00 2.059612161987377021e+01
3.770000000000000434e-02 -4.230398422490566190e+00 8.025810472290872966e+00 -2.129071542101996783e-01 6.961349319065710084e+00 2.213563376635117663e+01
4.017500000000000238e-02 -4.599362555990069268e+00 8.511274254705773146e+00 -2.393838232445162362e-01 9.330841806985084474e+00 2.369606015562144208e+01
4.265000000000000041e-02 -4.964370792680711020e+00 8.999015183100464554e+00 -2.666823622186598186e-01 1.189312884655589642e+01 2.527620872685449172e+01
4.512500000000000538e-02 -5.324911677869181403e+00 9.489134615768140435e+00 -2.946658685652963072e-01 1.464568046241935306e+01 2.687474081370904244e+01
4.760000000000000342e-02 -5.680542919451795569e+00 9.981692686538023551e+00 -3.231969746059704107e-01 1.758604451649304679e+01 2.849017860612772424e+01
5.007500000000000145e-02 -6.030879432479991920e+00 1.047671433635870031e+01 -3.521380227386643469e-01 2.071183258420438023e+01 3.012090907047450727e+01
5.255000000000000643e-02 -6.375583943989568070e+00 1.097419393399250254e+01 -3.813512126494202903e-01 2.402070880796790675e+01 3.176518522807084466e+01
5.502500000000000446e-02 -6.714359515020078106e+00 1.147409883923818086e+01 -4.106987264111054969e-01 2.751038117633126134e+01 3.342112543139996461e+01
5.750000000000000250e-02 -7.046943519848696269e+00 1.197637216137659877e+01 -4.400428354638634687e-01 3.117859482126270976e+01 3.508671109757074191e+01
5.997500000000000747e-02 -7.373102747657753753e+00 1.248093489682064927e+01 -4.692459927706025269e-01 3.502312685835639172e+01 3.675978324510266049e+01
6.245000000000000551e-02 -7.692629379442905702e+00 1.298768758204219864e+01 -4.981709126339310956e-01 3.904178247253461365e+01 3.843803809578392361e+01
6.492500000000001048e-02 -8.005337654939808090e+00 1.349651156388299711e+01 -5.266806401487400535e-01 4.323239201523625752e+01 4.011902194728235571e+01
6.740000000000001545e-02 -8.311061089127861123e+00 1.400726996499200183e+01 -5.546386118628845452e-01 4.759280888620443051e+01 4.180012548301171904e+01
6.987500000000000655e-02 -8.609650130527938927e+00 1.451980840434248421e+01 -5.819087089175809524e-01 5.212090799427769383e+01 4.347857765944151964e+01
7.234999999999999765e-02 -8.900970177720637366e+00 1.503395551974088562e+01 -6.083553037060056567e-01 5.681458468596344602e+01 4.515143929244680265e+01
7.482500000000000262e-02 -9.184899888674294743e+00 1.554952332946393412e+01 -6.338433009052408806e-01 6.167175409028105548e+01 4.681559645404331604e+01
7.730000000000000759e-02 -9.461329731125147191e+00 1.606630746293061662e+01 -6.582381736006936990e-01 6.669035068323778148e+01 4.846775378174556437e+01
7.977500000000001257e-02 -9.730160732848730731e+00 1.658408728470171312e+01 -6.814059951003770266e-01 7.186832804976094735e+01 5.010442780212008529e+01
8.225000000000001754e-02 -9.991303398700665639e+00 1.710262593204372550e+01 -7.032134669542102756e-01 7.720365878293134188e+01 5.172194036938314099e+01
8.472499999999999476e-02 -1.024467676768006186e+01 1.762167028299328564e+01 -7.235279436137460607e-01 8.269433454244330051e+01 5.331641232187069335e+01
8.719999999999999973e-02 -1.049020758819870025e+01 1.814095086956023195e+01 -7.422174541139696657e-01 8.833836609574763088e+01 5.488375746318769899e+01
8.967500000000000471e-02 -1.072782959365838451e+01 1.866018174875314628e+01 -7.591507211055841253e-01 9.413378334685803850e+01 5.641967698104055273e+01
9.215000000000000968e-02 -1.095748286366176671e+01 1.917906034286625072e+01 -7.741971775250533483e-01 1.000786355270452077e+02 5.791965442063375491e+01
9.462500000000001465e-02 -1.117911325853719973e+01 1.969726725926910760e+01 -7.872269811623056057e-01 1.061709912290482123e+02 5.937895134288542209e+01
9.710000000000001963e-02 -1.139267191706039739e+01 2.021446609943968298e+01 -7.981110273480425121e-01 1.124089384144426162e+02 6.079260380165591471e+01
9.957499999999999685e-02 -1.159811480877704071e+01 2.073030326619734609e+01 -8.067209599664550979e-01 1.187905844274445855e+02 6.215541978040827331e+01
1.020500000000000018e-01 -1.179540233376064862e+01 2.124440777795008373e+01 -8.129291809723753204e-01 1.253140559609346667e+02 6.346197774868946340e+01
1.045250000000000068e-01 -1.198449896369800172e+01 2.175639109848874853e+01 -8.166088585791868582e-01 1.319774989355684625e+02 6.470662649481872108e+01
1.070000000000000118e-01 -1.216537291912925411e+01 2.226584699073602991e+01 -8.176339342647622743e-01 1.387790782670976455e+02 6.588348641062137290e+01
1.094750000000000167e-01 -1.233799587844885082e+01 2.277235140295160321e+01 -8.158791287306428330e-01 1.457169776840673876e+02 6.698645240672389889e+01
1.119500000000000217e-01 -1.250234271485840054e+01 2.327546239581567988e+01 -8.112199469343721603e-01 1.527893993860445789e+02 6.800919865014419941e+01
1.144249999999999989e-01 -1.265839125803893239e+01 2.377472011909932803e+01 -8.035326823195987345e-01 1.599945636207319239e+02 6.894518531957191954e+01
1.169000000000000039e-01 -1.280612207773515365e+01 2.426964684656764248e+01 -7.926944203261285793e-01 1.673307082825790815e+02 6.978766757775639462e+01
1.193750000000000089e-01 -1.294551828681585448e+01 2.475974707806680541e+01 -7.785830412959313662e-01 1.747960883515449950e+02 7.052970697182927040e+01
1.218500000000000139e-01 -1.307656536170293293e+01 2.524450771780130509e+01 -7.610772228507869386e-01 1.823889752981459651e+02 7.116418546808699830e+01
1.243250000000000188e-01 -1.319925097833845484e+01 2.572339833799576780e+01 -7.400564418243931186e-01 1.901076564710384957e+02 7.168382233127348968e+01
1.268000000000000238e-01 -1.331356486206118461e+01 2.619587153719886530e+01 -7.154009758247639184e-01 1.979504343157482253e+02 7.208119404831147392e+01
1.292750000000000010e-01 -1.341949865000628961e+01 2.666136340250455561e+01 -6.869919044943628705e-01 2.059156256260353643e+02 7.234875750190289523e+01
