parameter,1a,1b,2a,2b,2c,3a,3b,4a,4b
name,continuous-global,continuous-local,continuous-global,continuous-local,continuous-local,continuous-global,continuous-local,continuous-global,continuous-local
g_sigma,-8.094516063428962,-10.760219547009164,-7.413256185049341,-10.112269199672143,8.172635812047645,-9.628356140341069,8.168556161358595,-9.3244299784537,8.35786306576755
g_omega,10.371341544555381,13.083792871491859,9.176649428657608,12.378015926953465,10.747963152636064,12.740410868861778,10.894230775898516,13.898405885738553,10.731553650105411
g_rho,7.585771443499261,6.7876860807561865,5.6317074035307515,7.225963687543643,6.169574516683404,7.363299142112499,5.560692245688902,8.068797311705067,6.079497980365508
g_a0,-8.531391490599223,-6.361219017323635,-3.8686025257700596,-6.930305125957608,-6.770508792268201,-6.42106528479961,-6.152652635755782,-8.732654481158681,-6.762306065129974
m_sigma,483.010337624639,531.3291453979218,460.0945760015463,520.818511005412,472.33249134368623,494.1783652560995,474.0892725217138,438.25787281103044,488.9543935487303
m_omega,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0
m_rho,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0
m_a0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0
M_N,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0
g2,1118.953324482803,1673.8043431019394,2014.7221899277492,1725.8964014986443,-906.2254517419465,1294.993943299902,-673.5176640119672,1461.2753444873674,-815.231227221079
g3,10.767743314334364,6.643231390752444,-2.4277432115752196,7.078023220214779,7.8942190607149385,-2.0540232551742514,7.449543642462841,12.410856690841111,7.446002959662505
g4,-9.814765969720181,1.902240687416362,4.597054505158624,1.641068811727418,-3.4256109279979325,4.9064744019273965,-2.4022042767651315,-7.847601332755841,-2.9391070936750894
g5,-9.250565234909116,11.325719673789807,-75.00140256260005,10.894656004366166,126.448753514085,-31.295861346245033,128.69351092818928,38.55969572703907,115.65716087977917
g6,-610.6314082503462,26.240789145746927,-1444.8164323730643,43.07385550408209,-1623.054084305322,-2092.6924057570654,-1959.1547253715341,66.32952724550933,-1761.423052196312
g7,-73.83772030001845,130.99793430102125,191.6498148840122,113.40773241904789,-51.599636152810184,-250.0,-46.393761456696474,-210.87214329282628,-27.073524715273507
c3,12.887847090650459,166.28058790216306,1.6786099461223492,156.19650147995463,11.749183692800152,93.1569384306561,9.546303177121207,263.8399944534912,1.3212851086871265
c4,279.6972835772546,195.79003078176353,152.92859338159306,201.4218691613552,0.0,197.79907945873703,2.127662360115303,285.5200742699822,3.5054017059048674
d3,447.56707237287014,0.0,867.664076581289,52.03941656355207,701.6267222210341,875.5124629939213,605.8083782113491,1073.4723469075088,650.4664695406422
b3,50.460478578789754,64.9027992985745,195.243856860032,86.59842925584155,231.43604961649274,8.364140470578352,251.24144474852577,291.721325475273,277.4239622097983
b4,2.9107922424143604,2.2443496691520997,1.814074733482001,1.9377068532208606,1.941523176518068,0.7024418862776823,1.8066975457624,-1.6507657598968768,1.9352237755812853
b5,97.08157714929585,119.35026260412488,23.395741497437086,109.31010347556797,-106.7206998960207,-94.56155954312639,-126.79980620325729,-43.625467906900326,-127.99865433115589
b6,204.2989191263623,204.0667656406648,48.79948351904599,200.22288078398486,-26.082012354936243,124.25173260804875,-5.669865998964487,79.31647713094154,-19.40372959237041
b7,7.4445470143688555,-0.3191456639297611,-15.914544639048252,0.06412202095411695,-6.992339422556842,15.852211220037008,-6.7728348170436865,-14.691677670328282,-6.702558611863494
b8,-122.27503288561192,10.80170938303803,86.02272859842651,9.817450447760702,-331.6602976510284,55.10292994914138,-316.8842413885559,59.81566165272227,-312.1702429582469
b9,-2149.265958538716,48.2010259965316,585.8607064160797,18.429455455931013,-1802.4738112206026,-1897.990744430829,-1779.3499758474902,-39.04356619807959,-1708.2404502566067
